traffic_volume,holiday,temp,rain_1h,clouds_all,weather_main,weather_description
1992,None,291.36,0,75,Clouds,broken clouds
1166,None,291.12,0,75,Clouds,broken clouds
627,None,290.63,0,75,Clouds,broken clouds
388,None,290.46,0,40,Clouds,scattered clouds
368,None,289.26,0,0,Clear,sky is clear
2489,None,283.21,0,75,Clouds,broken clouds
5537,None,282.24,0,90,Clouds,overcast clouds
6628,None,281.69,0,90,Clouds,overcast clouds
5534,None,280.57,0,90,Clouds,overcast clouds
5403,None,280.02,0,75,Clouds,broken clouds
4770,None,280.11,0,75,Clouds,broken clouds
5217,None,280,0,90,Clouds,overcast clouds
5870,None,280.53,0,90,Clouds,overcast clouds
5967,None,281.43,0,75,Clouds,broken clouds
6108,None,281.78,0,90,Clouds,overcast clouds
6128,None,281.91,0,90,Clouds,overcast clouds
6069,None,281.73,0,90,Clouds,overcast clouds
6169,None,281.42,0,90,Clouds,overcast clouds
5384,None,280.87,0,90,Clouds,overcast clouds
4063,None,280.15,0,90,Clouds,overcast clouds
3364,None,279.78,0,90,Clouds,overcast clouds
2971,None,279.65,0,75,Clouds,broken clouds
2450,None,279.22,0,40,Clouds,scattered clouds
1832,None,279.06,0,40,Clouds,scattered clouds
1231,None,278.81,0,90,Clouds,overcast clouds
718,None,278.55,0,90,Clouds,overcast clouds
545,None,278.59,0,90,Clouds,overcast clouds
411,None,276.99,0,75,Clouds,broken clouds
688,None,276.35,0,20,Clouds,few clouds
1352,None,275.4,0,1,Clear,sky is clear
2072,None,275.17,0,1,Clear,sky is clear
3342,None,274.99,0,1,Clear,sky is clear
4258,None,275.09,0,40,Clouds,scattered clouds
4861,None,276.88,0,20,Clouds,few clouds
5191,None,278.04,0,20,Clouds,few clouds
5669,None,279.08,0,40,Clouds,scattered clouds
5074,None,280.12,0,75,Clouds,broken clouds
5025,None,280.25,0,75,Clouds,broken clouds
5153,None,280,0,75,Clouds,broken clouds
5024,None,279.06,0,90,Clouds,overcast clouds
4779,None,278.91,0,90,Clouds,overcast clouds
4362,None,278.39,0,90,Clouds,overcast clouds
3860,None,278.16,0,90,Clouds,overcast clouds
3160,None,278.16,0,90,Clouds,overcast clouds
2992,None,277.93,0,90,Clouds,overcast clouds
3202,None,276.9,0,90,Clouds,overcast clouds
1941,None,276.34,0,75,Clouds,broken clouds
1233,None,276.11,0,75,Clouds,broken clouds
323,None,275.73,0,90,Clouds,overcast clouds
312,None,275.65,0,90,Clouds,overcast clouds
627,None,275.51,0,75,Clouds,broken clouds
1508,None,275.05,0,90,Clouds,overcast clouds
1539,None,274.77,0,90,Clouds,overcast clouds
2232,None,274.77,0,75,Clouds,broken clouds
4568,None,275.55,0,75,Clouds,broken clouds
4624,None,276.24,0,75,Clouds,broken clouds
4529,None,277.01,0,90,Clouds,overcast clouds
5139,None,277.43,0,90,Clouds,overcast clouds
6640,None,278.45,0,90,Clouds,overcast clouds
6589,None,279.27,0,90,Clouds,overcast clouds
4429,None,279.27,0,90,Clouds,overcast clouds
4329,None,279.44,0,90,Clouds,overcast clouds
3833,None,279.32,0,90,Clouds,overcast clouds
4015,None,279.27,0,90,Clouds,overcast clouds
3382,None,278.11,0,90,Clouds,overcast clouds
2815,None,276.79,0,75,Clouds,broken clouds
2110,None,275.73,0,90,Clouds,overcast clouds
1555,None,274.88,0,75,Clouds,broken clouds
959,None,273.92,0,20,Clouds,few clouds
455,Columbus Day,273.08,0,20,Clouds,few clouds
336,None,272.62,0,20,Clouds,few clouds
265,None,271.78,0,1,Clear,sky is clear
314,None,271.05,0,1,Clear,sky is clear
779,None,270.63,0,1,Clear,sky is clear
2571,None,270.33,0,1,Clear,sky is clear
5563,None,269.61,0,20,Clouds,few clouds
6676,None,270.01,0,20,Clouds,few clouds
5966,None,271.23,0,20,Clouds,few clouds
4832,None,273.71,0,20,Clouds,few clouds
4395,None,276.77,0,20,Clouds,few clouds
4411,None,279.47,0,20,Clouds,few clouds
4648,None,279.84,0,1,Clear,sky is clear
4602,None,282.34,0,40,Clouds,scattered clouds
5125,None,282.94,0,40,Clouds,scattered clouds
5502,None,283.48,0,1,Clear,sky is clear
5979,None,284.33,0,1,Clear,sky is clear
5663,None,284.48,0,40,Clouds,scattered clouds
4259,None,284.23,0,40,Clouds,scattered clouds
3069,None,281.99,0,20,Clouds,few clouds
2378,None,279.81,0,1,Clear,sky is clear
2030,None,279.35,0,1,Clear,sky is clear
1400,None,278.9,0,1,Clear,sky is clear
917,None,278.46,0,1,Clear,sky is clear
515,None,277.78,0,1,Clear,sky is clear
302,None,277.27,0,1,Clear,sky is clear
251,None,277.47,0,1,Clear,sky is clear
798,None,276.97,0,20,Clouds,few clouds
2678,None,276.52,0,40,Clouds,scattered clouds
5733,None,276.6,0,40,Clouds,scattered clouds
6449,None,277.31,0,75,Clouds,broken clouds
5765,None,278.38,0,90,Clouds,overcast clouds
5599,None,279.35,0,90,Clouds,overcast clouds
4534,None,281.37,0,90,Clouds,overcast clouds
4691,None,283.11,0,90,Clouds,overcast clouds
5067,None,284.08,0,75,Clouds,broken clouds
5030,None,285.14,0,75,Clouds,broken clouds
5300,None,286.35,0,90,Clouds,overcast clouds
5777,None,287.23,0,100,Rain,light rain
6349,None,288.53,0,90,Clouds,overcast clouds
6127,None,290.37,0,90,Clouds,overcast clouds
4460,None,290.13,0,90,Clouds,overcast clouds
3418,None,288.86,0,75,Clouds,broken clouds
2775,None,287.36,0,90,Clouds,overcast clouds
2306,None,285.11,0,90,Clouds,overcast clouds
1846,None,283.46,0,90,Clouds,overcast clouds
947,None,282.45,0,90,Clouds,overcast clouds
494,None,281.88,0,90,Clouds,overcast clouds
332,None,281.78,0,90,Clouds,overcast clouds
261,None,281.09,0,75,Clouds,broken clouds
361,None,281.17,0,90,Clouds,overcast clouds
5875,None,281.25,0,92,Clear,sky is clear
6793,None,281.25,0,99,Rain,light rain
6793,None,281.25,0,99,Drizzle,light intensity drizzle
6283,None,280.1,0,99,Rain,light rain
6283,None,280.1,0,99,Drizzle,light intensity drizzle
5680,None,279.61,0,99,Rain,light rain
5680,None,279.61,0,99,Drizzle,light intensity drizzle
4632,None,279.67,0,99,Clear,sky is clear
4887,None,280.19,0,1,Clear,sky is clear
5030,None,282.09,0,75,Clouds,broken clouds
5067,None,282.26,0,75,Clouds,broken clouds
5227,None,282.05,0,90,Clouds,overcast clouds
5610,None,281.59,0,90,Clouds,overcast clouds
6286,None,281.23,0,81,Clear,sky is clear
4775,None,282.6,0,81,Clear,sky is clear
3340,None,282.6,0,81,Clear,sky is clear
3013,None,282.6,0,81,Clear,sky is clear
2603,None,282.6,0,81,Clear,sky is clear
1910,None,282.6,0,81,Clear,sky is clear
1037,None,282.6,0,81,Clear,sky is clear
347,None,273.9,0,1,Clear,sky is clear
350,None,274.4,0,75,Clouds,broken clouds
850,None,274.05,0,75,Clouds,broken clouds
2791,None,273.71,0,40,Clouds,scattered clouds
5809,None,272.66,0,1,Clear,sky is clear
6798,None,272.65,0,1,Clear,sky is clear
6304,None,272.52,0,1,Clear,sky is clear
5291,None,275.19,0,20,Clouds,few clouds
4638,None,275.34,0,1,Clear,sky is clear
5557,None,284.1,0,50,Clear,sky is clear
5818,None,284.1,0,50,Clear,sky is clear
6272,None,283.78,0,75,Clouds,broken clouds
5944,None,283.52,0,75,Clouds,broken clouds
4949,None,283.32,0,90,Clouds,overcast clouds
3511,None,282.06,0,90,Clouds,overcast clouds
3039,None,281.95,0,90,Clouds,overcast clouds
2679,None,281.81,0,90,Clouds,overcast clouds
2094,None,282.16,0,90,Clouds,overcast clouds
1284,None,282.53,0,90,Clouds,overcast clouds
630,None,283.91,0,90,Clouds,overcast clouds
410,None,284.64,0,90,Clouds,overcast clouds
331,None,284.61,0,90,Clouds,overcast clouds
372,None,283.18,0,72,Drizzle,light intensity drizzle
739,None,282.26,0,72,Rain,light rain
2561,None,280.77,0,72,Drizzle,light intensity drizzle
5586,None,278.53,0,75,Clouds,broken clouds
6992,None,277.64,0,75,Clouds,broken clouds
5860,None,277.9,0,90,Clouds,overcast clouds
5230,None,278.18,0,90,Clouds,overcast clouds
4864,None,279.29,0,75,Clouds,broken clouds
5146,None,280.45,0,75,Clouds,broken clouds
5526,None,280.95,0,40,Clouds,scattered clouds
5383,None,281.74,0,40,Clouds,scattered clouds
5758,None,281.84,0,75,Clouds,broken clouds
5889,None,282.45,0,75,Clouds,broken clouds
6057,None,282.2,0,75,Clouds,broken clouds
6028,None,281.54,0,40,Clouds,scattered clouds
5257,None,280.21,0,20,Clouds,few clouds
1897,None,282.2,0,56,Clear,sky is clear
1335,None,272.58,0,1,Clear,sky is clear
769,None,272.06,0,1,Clear,sky is clear
570,None,270.99,0,1,Clear,sky is clear
413,None,270.29,0,20,Clouds,few clouds
399,None,269.48,0,1,Clear,sky is clear
740,None,269.27,0,1,Clear,sky is clear
1420,None,268.91,0,1,Clear,sky is clear
2220,None,268.98,0,75,Clouds,broken clouds
3479,None,269.23,0,40,Clouds,scattered clouds
4546,None,272.61,0,40,Clouds,scattered clouds
4579,None,276.78,0,20,Clouds,few clouds
4438,None,279.22,0,1,Clear,sky is clear
4623,None,280.35,0,1,Clear,sky is clear
4440,None,281.81,0,1,Clear,sky is clear
4495,None,283.05,0,1,Clear,sky is clear
4483,None,283.96,0,1,Clear,sky is clear
4591,None,284.53,0,1,Clear,sky is clear
4477,None,284.44,0,1,Clear,sky is clear
4221,None,283.64,0,1,Clear,sky is clear
3672,None,281.85,0,20,Clouds,few clouds
3015,None,281.38,0,1,Clear,sky is clear
2769,None,281.84,0,75,Clouds,broken clouds
2875,None,282.23,0,90,Clouds,overcast clouds
1931,None,282.18,0,90,Clouds,overcast clouds
1309,None,282.49,0,90,Clouds,overcast clouds
870,None,282.54,0,90,Clouds,overcast clouds
654,None,282.58,0,90,Clouds,overcast clouds
364,None,282.23,0,90,Clouds,overcast clouds
262,None,282.08,0,90,Clouds,overcast clouds
505,None,282.23,0,90,Clouds,overcast clouds
861,None,282.24,0,90,Clouds,overcast clouds
1132,None,282.24,0,90,Clouds,overcast clouds
1797,None,282.24,0,57,Mist,mist
2685,None,282.43,0,57,Drizzle,light intensity drizzle
2685,None,282.43,0,57,Mist,mist
2685,None,282.43,0,57,Haze,haze
3370,None,282.33,0,57,Drizzle,light intensity drizzle
3370,None,282.33,0,57,Mist,mist
3662,None,282.82,0,57,Drizzle,light intensity drizzle
3662,None,282.82,0,57,Mist,mist
4076,None,283.33,0,57,Mist,mist
4076,None,283.33,0,57,Rain,light rain
4076,None,283.33,0,57,Drizzle,light intensity drizzle
4128,None,283.75,0,93,Rain,light rain
4128,None,283.75,0,93,Mist,mist
4128,None,283.75,0,93,Drizzle,light intensity drizzle
4358,None,284.09,0,93,Mist,mist
4358,None,284.09,0,93,Rain,light rain
4358,None,284.09,0,93,Drizzle,light intensity drizzle
4342,None,284.55,0,93,Mist,mist
4342,None,284.55,0,93,Rain,light rain
4234,None,284.68,0,93,Mist,mist
4271,None,284.64,0,93,Rain,light rain
4271,None,284.64,0,93,Mist,mist
4080,None,284.4,0,93,Mist,mist
3453,None,284.17,0,93,Mist,mist
2718,None,284.03,0,93,Mist,mist
2439,None,283.58,0,93,Mist,mist
1819,None,283.04,0,93,Mist,mist
1002,None,281.95,0,93,Mist,mist
1002,None,281.95,0,93,Fog,fog
542,None,281.61,0,93,Mist,mist
542,None,281.61,0,93,Fog,fog
303,None,281.57,0,85,Fog,fog
239,None,281.42,0,85,Fog,fog
335,None,281.29,0,85,Mist,mist
335,None,281.29,0,85,Fog,fog
810,None,281.02,0,85,Mist,mist
810,None,281.02,0,85,Fog,fog
2606,None,280.82,0,85,Mist,mist
2606,None,280.82,0,85,Fog,fog
5714,None,280.39,0,85,Mist,mist
6798,None,280.19,0,100,Mist,mist
6114,None,279.82,0,100,Mist,mist
5094,None,279.75,0,100,Mist,mist
4473,None,280.07,0,100,Mist,mist
4529,None,280.32,0,90,Clouds,overcast clouds
4823,None,281.72,0,100,Clear,sky is clear
4872,None,284.01,0,40,Clouds,scattered clouds
5238,None,285.88,0,1,Clear,sky is clear
5584,None,286.87,0,1,Clear,sky is clear
6246,None,287.6,0,20,Clouds,few clouds
5957,None,287.27,0,20,Clouds,few clouds
4535,None,286.18,0,20,Clouds,few clouds
3234,None,285.2,0,75,Clouds,broken clouds
2677,None,284.68,0,75,Clouds,broken clouds
2077,None,284.49,0,90,Clouds,overcast clouds
1380,None,283.54,0,20,Clouds,few clouds
927,None,282.33,0,75,Clouds,broken clouds
500,None,281.21,0,20,Clouds,few clouds
324,None,279.87,0,1,Clear,sky is clear
257,None,278.93,0,1,Clear,sky is clear
354,None,277.91,0,1,Clear,sky is clear
769,None,277.21,0,1,Clear,sky is clear
2769,None,276.61,0,1,Clear,sky is clear
5789,None,276.11,0,1,Clear,sky is clear
7055,None,274.81,0,20,Clouds,few clouds
6408,None,274.99,0,20,Clouds,few clouds
5254,None,277.91,0,20,Clouds,few clouds
4547,None,280.71,0,20,Clouds,few clouds
4784,None,283.85,0,20,Clouds,few clouds
5015,None,286.01,0,40,Clouds,scattered clouds
5057,None,286.31,0,1,Clear,sky is clear
5430,None,288.15,0,75,Clouds,broken clouds
5813,None,289.15,0,75,Clouds,broken clouds
6496,None,288.99,0,75,Clouds,broken clouds
6429,None,288.86,0,75,Clouds,broken clouds
5142,None,288.16,0,90,Clouds,overcast clouds
3311,None,287.28,0,68,Rain,light rain
2777,None,287.04,0,90,Clouds,overcast clouds
2331,None,286.9,0,90,Clouds,overcast clouds
1767,None,287.09,0,90,Clouds,overcast clouds
1093,None,287.09,0,90,Clouds,overcast clouds
554,None,286.89,0,75,Clouds,broken clouds
333,None,286.93,0,75,Clouds,broken clouds
267,None,286.93,0,90,Clouds,overcast clouds
358,None,287.07,0,90,Clouds,overcast clouds
777,None,286.56,0,75,Clouds,broken clouds
2732,None,285.91,0,90,Clouds,overcast clouds
5637,None,285.29,0,90,Clouds,overcast clouds
5564,None,284.92,0,75,Clouds,broken clouds
6274,None,285.35,0,75,Clouds,broken clouds
5403,None,285.72,0,100,Rain,proximity shower rain
5403,None,285.72,0,100,Rain,light rain
4680,None,287.09,0,75,Clouds,broken clouds
4642,None,288.31,0,75,Clouds,broken clouds
4979,None,288.61,0,1,Clear,sky is clear
4851,None,290.32,0,1,Clear,sky is clear
4291,None,291.36,0,1,Clear,sky is clear
4714,None,292.01,0,1,Clear,sky is clear
6723,None,292.61,0,1,Clear,sky is clear
6180,None,292.65,0,1,Clear,sky is clear
4843,None,290.52,0,40,Clouds,scattered clouds
3435,None,288.35,0,40,Clouds,scattered clouds
2921,None,286.72,0,40,Clouds,scattered clouds
2763,None,285.49,0,40,Clouds,scattered clouds
1930,None,284.22,0,20,Clouds,few clouds
1160,None,283.8,0,20,Clouds,few clouds
654,None,283.72,0,20,Clouds,few clouds
374,None,282.8,0,40,Clouds,scattered clouds
301,None,282.32,0,99,Mist,mist
397,None,282.38,0,99,Mist,mist
794,None,282.76,0,90,Clouds,overcast clouds
2564,None,282.88,0,99,Mist,mist
5358,None,284.18,0,75,Clouds,broken clouds
6441,None,284.69,0,90,Clouds,overcast clouds
5536,None,285,0,90,Clouds,overcast clouds
5256,None,286.9,0,99,Rain,light rain
4619,None,288.35,0,90,Clouds,overcast clouds
5107,None,289.59,0,90,Clouds,overcast clouds
5147,None,288.27,0,99,Rain,light rain
5283,None,286.41,0,90,Clouds,overcast clouds
5704,None,285.96,0,90,Clouds,overcast clouds
5887,None,287.04,0,90,Clouds,overcast clouds
6307,None,287.18,0,90,Clouds,overcast clouds
5953,None,286.94,0,90,Clouds,overcast clouds
4519,None,286.01,0,90,Clouds,overcast clouds
3427,None,284.67,0,100,Drizzle,light intensity drizzle
2921,None,283.44,0,100,Rain,light rain
2649,None,282.51,0,100,Drizzle,light intensity drizzle
2005,None,281.9,0,90,Clouds,overcast clouds
1177,None,281.85,0,90,Clouds,overcast clouds
699,None,281.28,0,90,Clouds,overcast clouds
436,None,280.97,0,87,Mist,mist
353,None,280.44,0,87,Drizzle,light intensity drizzle
353,None,280.44,0,87,Mist,mist
399,None,280.02,0,87,Mist,mist
720,None,279.79,0,87,Drizzle,light intensity drizzle
720,None,279.79,0,87,Mist,mist
720,None,279.79,0,87,Rain,light rain
720,None,279.79,0,87,Drizzle,drizzle
2370,None,279.74,0,87,Mist,mist
2370,None,279.74,0,87,Rain,light rain
5162,None,279.65,0,87,Drizzle,light intensity drizzle
5162,None,279.65,0,87,Mist,mist
5162,None,279.65,0,87,Rain,light rain
5777,None,279.45,0,91,Mist,mist
5777,None,279.45,0,91,Rain,moderate rain
5235,None,279.22,0,91,Drizzle,light intensity drizzle
5235,None,279.22,0,91,Mist,mist
5235,None,279.22,0,91,Rain,light rain
4606,None,279.35,0,91,Rain,light rain
4606,None,279.35,0,91,Mist,mist
4328,None,279.92,0,91,Mist,mist
4282,None,280.44,0,90,Clouds,overcast clouds
4489,None,281,0,90,Clouds,overcast clouds
4908,None,281.51,0,90,Clouds,overcast clouds
5620,None,281.93,0,92,Mist,mist
5849,None,281.94,0,92,Mist,mist
5849,None,281.94,0,92,Drizzle,light intensity drizzle
4945,None,282.27,0,92,Rain,moderate rain
4619,None,282.41,0,92,Rain,light rain
4479,None,282.21,0,90,Clouds,overcast clouds
3804,None,281.69,0,75,Clouds,broken clouds
2908,None,281.26,0,90,Clouds,overcast clouds
2942,None,280.66,0,92,Mist,mist
3077,None,280.43,0,92,Drizzle,drizzle
3077,None,280.43,0,92,Drizzle,light intensity drizzle
2051,None,280.1,0,92,Mist,mist
2051,None,280.1,0,92,Rain,light rain
2051,None,280.1,0,92,Drizzle,light intensity drizzle
1270,None,280.06,0,92,Rain,light rain
1270,None,280.06,0,92,Rain,moderate rain
773,None,280.28,0,96,Drizzle,drizzle
773,None,280.28,0,96,Rain,light rain
589,None,280.38,0,96,Drizzle,light intensity drizzle
432,None,280.62,0,96,Drizzle,light intensity drizzle
432,None,280.62,0,96,Mist,mist
401,None,280.91,0,96,Mist,mist
401,None,280.91,0,96,Drizzle,drizzle
401,None,280.91,0,96,Rain,light rain
759,None,280.96,0,96,Rain,light rain
759,None,280.96,0,96,Mist,mist
759,None,280.96,0,96,Drizzle,drizzle
1313,None,281.13,0,96,Rain,light rain
1313,None,281.13,0,96,Mist,mist
1313,None,281.13,0,96,Drizzle,light intensity drizzle
1824,None,281.28,0,100,Rain,light rain
1824,None,281.28,0,100,Mist,mist
1824,None,281.28,0,100,Drizzle,drizzle
2787,None,281.19,0,100,Rain,light rain
2787,None,281.19,0,100,Mist,mist
2787,None,281.19,0,100,Drizzle,drizzle
3713,None,281.7,0,100,Rain,light rain
3713,None,281.7,0,100,Drizzle,drizzle
3713,None,281.7,0,100,Mist,mist
3713,None,281.7,0,100,Drizzle,light intensity drizzle
3815,None,282.02,0,100,Rain,light rain
3815,None,282.02,0,100,Drizzle,drizzle
3815,None,282.02,0,100,Mist,mist
3815,None,282.02,0,100,Rain,moderate rain
4339,None,282.35,0,100,Rain,light rain
4339,None,282.35,0,100,Mist,mist
4339,None,282.35,0,100,Drizzle,drizzle
4613,None,282.71,0,100,Rain,heavy intensity rain
4613,None,282.71,0,100,Mist,mist
4613,None,282.71,0,100,Rain,light rain
4613,None,282.71,0,100,Rain,moderate rain
4507,None,283.31,0,48,Rain,light rain
4452,None,283.79,0,90,Clouds,overcast clouds
4636,None,284.2,0,75,Clouds,broken clouds
4810,None,284.32,0,90,Clouds,overcast clouds
5125,None,284.13,0,75,Clouds,broken clouds
4337,None,283.14,0,40,Clouds,scattered clouds
3644,None,281.4,0,40,Clouds,scattered clouds
3107,None,280.47,0,20,Clouds,few clouds
2929,None,279.52,0,20,Clouds,few clouds
2865,None,278.85,0,48,Mist,mist
2340,None,278.12,0,48,Fog,fog
1372,None,277.94,0,48,Mist,mist
1928,None,275.93,0,60,Fog,fog
1928,None,275.93,0,60,Mist,mist
4695,None,284.09,0,75,Clouds,broken clouds
4335,None,282.6,0,75,Clouds,broken clouds
1583,None,281.72,0,90,Clouds,overcast clouds
959,None,281.26,0,90,Clouds,overcast clouds
498,None,281.29,0,75,Clouds,broken clouds
306,None,281.01,0,75,Clouds,broken clouds
259,None,280.57,0,40,Clouds,scattered clouds
324,None,280.54,0,75,Clouds,broken clouds
806,None,279.37,0,8,Mist,mist
2622,None,279.18,0,8,Mist,mist
5456,None,279.05,0,8,Mist,mist
4324,None,282.7,0,38,Clear,sky is clear
4378,None,286.17,0,40,Clouds,scattered clouds
4639,None,288.61,0,75,Clouds,broken clouds
4546,None,290.59,0,20,Clouds,few clouds
5006,None,292.21,0,75,Clouds,broken clouds
5361,None,293.56,0,75,Clouds,broken clouds
6101,None,293.43,0,40,Clouds,scattered clouds
5781,None,293.4,0,40,Clouds,scattered clouds
4272,None,291.47,0,20,Clouds,few clouds
3091,None,289.17,0,20,Clouds,few clouds
2434,None,287.28,0,1,Clear,sky is clear
1984,None,286.1,0,1,Clear,sky is clear
1383,None,285.45,0,75,Clouds,broken clouds
959,None,285.33,0,90,Clouds,overcast clouds
511,None,285.07,0,90,Clouds,overcast clouds
346,None,284.58,0,90,Clouds,overcast clouds
253,None,283.88,0,75,Clouds,broken clouds
349,None,283.55,0,75,Clouds,broken clouds
807,None,282.85,0,20,Clouds,few clouds
2669,None,282.42,0,20,Clouds,few clouds
5210,None,282.13,0,75,Clouds,broken clouds
6083,None,281.85,0,40,Clouds,scattered clouds
5790,None,281.85,0,20,Clouds,few clouds
5484,None,283.07,0,75,Clouds,broken clouds
4407,None,284.53,0,90,Clouds,overcast clouds
4725,None,285.6,0,75,Clouds,broken clouds
4826,None,286.63,0,90,Clouds,overcast clouds
4945,None,286.75,0,99,Rain,moderate rain
5065,None,287.97,0,90,Clouds,overcast clouds
5618,None,288.54,0,99,Thunderstorm,proximity thunderstorm
6094,None,288.72,0,90,Clouds,overcast clouds
5844,None,288.53,0,90,Clouds,overcast clouds
4649,None,288.16,0,90,Clouds,overcast clouds
3180,None,287.59,0,90,Clouds,overcast clouds
2963,None,287.21,0,90,Clouds,overcast clouds
2450,None,286.29,0,90,Clouds,overcast clouds
1613,None,285.7,0,90,Clouds,overcast clouds
1021,None,285.61,0,90,Clouds,overcast clouds
580,None,285.37,0,99,Drizzle,light intensity drizzle
580,None,285.37,0,99,Mist,mist
298,None,285.51,0,90,Clouds,overcast clouds
261,None,285.6,0,100,Haze,haze
408,None,285.99,0,100,Mist,mist
408,None,285.99,0,100,Haze,haze
793,None,285.94,0,100,Mist,mist
793,None,285.94,0,100,Thunderstorm,proximity thunderstorm
2643,None,285.97,0,90,Mist,mist
2643,None,285.97,0,90,Rain,light rain
2643,None,285.97,0,90,Thunderstorm,proximity thunderstorm
5593,None,285.73,0,90,Mist,mist
5593,None,285.73,0,90,Thunderstorm,thunderstorm with light rain
5593,None,285.73,0,90,Rain,moderate rain
5593,None,285.73,0,90,Thunderstorm,proximity thunderstorm
5722,None,285.5,0,90,Rain,light rain
5722,None,285.5,0,90,Mist,mist
5607,None,285.55,0,90,Drizzle,light intensity drizzle
5607,None,285.55,0,90,Mist,mist
5607,None,285.55,0,90,Rain,light rain
5607,None,285.55,0,90,Thunderstorm,proximity thunderstorm
5492,None,285.93,0,90,Drizzle,light intensity drizzle
5492,None,285.93,0,90,Mist,mist
5492,None,285.93,0,90,Rain,moderate rain
4542,None,286.34,0,90,Mist,mist
4720,None,286.82,0,90,Mist,mist
4720,None,286.82,0,90,Fog,fog
4982,None,288.36,0,90,Mist,mist
4982,None,288.36,0,90,Haze,haze
4982,None,288.36,0,90,Fog,fog
5032,None,289.08,0,90,Haze,haze
5032,None,289.08,0,90,Mist,mist
5032,None,289.08,0,90,Fog,fog
5212,None,289.88,0,90,Mist,mist
5212,None,289.88,0,90,Haze,haze
5661,None,290.24,0,90,Mist,mist
5661,None,290.24,0,90,Haze,haze
5661,None,290.24,0,90,Rain,moderate rain
5812,None,290.01,0,90,Mist,mist
5855,None,289.62,0,90,Haze,haze
5855,None,289.62,0,90,Mist,mist
4416,None,289.61,0,90,Haze,haze
4416,None,289.61,0,90,Mist,mist
3118,None,289.06,0,90,Mist,mist
2877,None,288.34,0,75,Haze,haze
2877,None,288.34,0,75,Mist,mist
2498,None,287.06,0,20,Mist,mist
1701,None,287.41,0,75,Mist,mist
1028,None,287.52,0,90,Mist,mist
578,None,287.81,0,90,Mist,mist
354,None,287.29,0,75,Mist,mist
272,None,287.23,0,90,Mist,mist
370,None,286.44,0,90,Mist,mist
809,None,285.32,0,90,Mist,mist
809,None,285.32,0,90,Fog,fog
2641,None,285.43,0,90,Mist,mist
4957,None,285.53,0,75,Mist,mist
6036,None,285.2,0,90,Mist,mist
6036,None,285.2,0,90,Fog,fog
5309,None,285.02,0,90,Mist,mist
4438,None,286.43,0,90,Mist,mist
4723,None,287.36,0,90,Mist,mist
4879,None,287.6,0,90,Mist,mist
5062,None,287.29,0,90,Clouds,overcast clouds
5450,None,286.41,0,90,Rain,light rain
5450,None,286.41,0,90,Mist,mist
5450,None,286.41,0,90,Drizzle,light intensity drizzle
5450,None,286.41,0,90,Drizzle,drizzle
